ID,Name,Label,ColumnName
V95,fin34d,Received wage payments in cash,Received wage payments in cash
V96,fin34e,Received wage payments to a card,Received wage payments to a card
V97,fin35,Received wage payments into an account or to a phone or a card and paid higher t,Received wage payments into an account or to a phone or a card and paid higher t
V98,fin37,Received a government transfer,Received a government transfer
V99,fin38,Received a government pension,Received a government pension
V100,fin39a,Received a government transfer or pension into an account,Received a government transfer or pension into an account
V101,fin39b,Received a government transfer or pension to a mobile phone,Received a government transfer or pension to a mobile phone
V102,fin39d,Received a government transfer or pension in cash,Received a government transfer or pension in cash
V103,fin39e,Received a government transfer or pension to a card,Received a government transfer or pension to a card
V104,fin42,Received an agricultural payment,Received an agricultural payment
V105,fin42a,Grow own crops or raise livestock,Grow own crops or raise livestock
V106,fin43a,Received an agricultural payment into an account,Received an agricultural payment into an account
V107,fin43b,Received an agricultural payment to a mobile phone,Received an agricultural payment to a mobile phone
V108,fin43d,Received an agricultural payment in cash,Received an agricultural payment in cash
V109,fin43e,Received an agricultural payment to a card,Received an agricultural payment to a card
V110,fin44a,Financially worried: old age,Financially worried: old age
V111,fin44b,Financially worried: medical cost,Financially worried: medical cost
V112,fin44c,Financially worried: bills,Financially worried: bills
V113,fin44d,Financially worried: education,Financially worried: education
V114,fin45,Financially most worried,Financially most worried
V115,fin45_1,Financially worried due to COVID-19,Financially worried due to COVID-19
V116,fin45_1,_China Financial worry,_China Financial worry
V117,saved,Saved in the past year,Saved in the past year
V118,borrowed,Borrowed in the past year,Borrowed in the past year
V119,receive_wages,Received a wage payment,Received a wage payment
V120,receive_transfers,Received a government transfer payment,Received a government transfer payment
V121,receive_pension,Received a government pension payment,Received a government pension payment
V122,receive_agriculture,Received a payment for the sale of agricultural goods,Received a payment for the sale of agricultural goods
V123,pay_utilities,Paid a utility bill,Paid a utility bill
V124,remittances,Made or received a domestic remittance payment,Made or received a domestic remittance payment
V125,mobileowner,Owns a mobile phone,Owns a mobile phone
V126,internetaccess,Internet access,Internet access
V127,anydigpayment,Made or received a digital payment,Made or received a digital payment
V128,merchantpay_dig,Made a digital merchant payment,Digital merchant payment
V129,year,Year,Year
